question,answer
Quick Links,Stream (on SharePoint) overview Microsoft Stream (Classic) Retirement Timeline Microsoft Stream Feature Roadmap Microsoft Stream FAQ Microsoft Stream Blog
Microsoft Stream Migration (Enhancement) FAQ,"This guide is intended to help you understand the process, impact, and benefits of the transition from Stream (Classic) to Stream (on SharePoint). Microsoft is evolving its video service, Stream, to better integrate with SharePoint, OneDrive, and Teams. This change means that videos will be stored in these services instead of in a separate Stream (Classic) service. This FAQ covers key topics such as how the discontinuation of Stream (Classic) affects you, the actions you can take regarding your existing Stream video content, and where your videos will be located post-migration. Please note that the information provided is based on the latest updates and may change over time. For the most accurate and up-to-date information, always refer to the official Microsoft documentation."
When will Stream (Classic) retire?,"See the retirement timeline for details. Stream (Classic) is being replaced by the new experience, Stream (on SharePoint) on April 15 th . 2024."
Is there still a Stream application?,"Yes, there is still a Stream application. However, Microsoft has introduced a new video hosting platform called Stream (on SharePoint) which is a video-centric home base for everyone who wants to find, watch, enhance, or record video directly in SharePoint, OneDrive, and Teams."
Where will video files be stored?,"Videos in Stream (on SharePoint) will be stored in the same place you store your Office files, in Teams, SharePoint, and OneDrive. Stream enhances those videos by powering the playback and adding intelligent video experiences on top."
How does the discontinuation affect me?,"The discontinuation of Stream (Classic) and migration to Stream (on SharePoint) can affect users in several ways: Migration Process : The migration tool can only be run by SharePoint Global Admins, and can't be used by regular user to migrate their own videos. Users can manually download their videos and reupload them to SharePoint, OneDrive, or Teams"
Migration Process,"Content Deletion : If you choose to not migrate your content, it will be deleted when Stream (Classic) is retired. Any content that remains in Stream (Classic) after the migration is completed will be deleted at Stream (Classic) end of life."
Content Deletion,"Metadata Migration : Only certain pieces of critical metadata and permissions are migrated with the videos (title, description, transcripts, etc)"
Metadata Migration,"Service Retirement : Microsoft will retire Stream (Classic) on April 15, 2024 (for commercial and education customers)"
Service Retirement,"New Features : Stream (on SharePoint) brings many of the same capabilities of Stream (Classic) while also allowing you to use video in many apps such as Teams, Office.com, Viva, PowerPoint, and SharePoint."
New Features,"Please note that these effects are based on the information available as of the latest update and may change over time. For the most accurate and up-to-date information, please refer to Microsoft's official documentation."
What actions can I take regarding my existing videos and recorded meetings?,"Users can manually download videos and recorded meetings and reupload them to SharePoint, OneDrive, or Teams."
What data is being migrated?,"IT&S will only be migrating videos and recorded meetings (created before March 30, 2023) based on your response to migrate it to OneDrive, SharePoint, Teams site or whether to archive or delete the data"
What happens if I take no action?,"If you take no action regarding the migration from Stream (Classic) to Stream (on SharePoint), the following will occur: Content Deletion : Microsoft won't automatically force a migration of your content to Stream (on SharePoint). If you choose to not migrate your content, it will be deleted when Stream (Classic) is retired around mid-April 2024."
Content Deletion,Upload Block : Users have been blocked from uploading content to Stream (Classic) since May 2023.
Upload Block,"Access Restriction : From October 2023, users are no longer able to access or use Stream (Classic)."
Where will my videos be located once they have been migrated?,"Once your videos have been migrated, they will be found in the following places: Individual Content : Content owned by individuals can be found in OneDrive > Stream migrated videos and OneDrive > Recordings for all recorded Team meetings"
Individual Content,Group Content: Content owned by a group (team) can be found in SharePoint > Documents > Stream migrated videos
Group Content:,Teams Meeting Recordings: Teams meeting recordings of the channel would be filed under the Recordings folder in your OneDrive.
What is happening with Stream live events?,Stream live events is being replaced by Teams live events. Teams is working on the feature to have an external encoder via RTMP/RTMPS ingest into a Teams live event.
Is there a guide to help navigate the changes that might impact the way I create and share video files?,The Stream (on SharePoint) vs Stream (Classic) Guide explains the various changes you will notice in some common tasks while switching to the modern service.
